立法院代碼,法務部代碼,法律名稱,舊名稱,法務部分類
04101000,A0000001,中華民國憲法,憲法,憲法
04105000,A0000002,中華民國憲法增修條文,,憲法
04103000,A0000003,憲法實施之準備程序,,憲法
04104000,A0000004,訓政結束程序法,,憲法
04102000,A0000005,動員戡亂時期臨時條款,,廢止法規＞憲法
01833000,A0000007,戒嚴時期人民受損權利回復條例,長期或戒嚴結束後人民權益保障條例,行政＞法務部＞法制目
01210000,A0000009,中華民國領海及鄰接區法,"領海及鄰接區法,中華民國海域法",行政＞內政部＞地政目
01263000,A0000010,中華民國專屬經濟海域及大陸礁層法,,行政＞內政部＞地政目
04576000,F0120018,戒嚴時期不當叛亂暨匪諜審判案件補償條例,戒嚴時期不當政治審判補償條例,行政＞國防部＞軍法目
,A0000012,民國八十八年九月二十五日總統緊急命令（九二一震災）,,憲法
04201000,A0010001,國民大會組織法,,國民大會（憲法國民大會章條文已停止適用）
04301000,A0010012,中華民國總統府組織法,總統府組織法,總統＞總統府＞組織目
04302000,A0010013,國策顧問委員會組織條例,,廢止法規＞總統府
04303000,A0010014,戰略顧問委員會組織條例,,廢止法規＞總統府
04305000,A0010015,稽勳委員會組織條例,,廢止法規＞總統府
04306000,A0010016,中央研究院組織法,國立中央研究院組織法,總統＞總統府＞組織目
04309000,A0010017,國史館組織條例,,總統＞總統府＞組織目
04310000,A0010018,國父陵園管理委員會組織條例,,總統＞總統府＞組織目
04307000,A0010021,國家安全會議組織法,,總統＞國家安全會議＞組織目
04317000,A0010022,國家安全局組織法,,總統＞國家安全會議＞組織目
01764000,A0010026,國史館臺灣文獻館組織條例,國史館台灣文獻局組織條例,總統＞總統府＞組織目
01010000,A0010032,行政院組織法,,行政＞院本部＞組織目
01046000,D0000123,行政院原住民族委員會組織條例,"行政院原住民委員會組織條例;原住民委員會組織條例,行政院原住民委員會組織條例,原住民族委員會組織法",廢止法規＞原住民族委員會
01040000,A0010037,行政院公共工程委員會組織條例,,行政＞行政院公共工程委員會＞組織目
01032000,A0010039,行政院經濟建設委員會組織條例,,廢止法規＞國家發展委員會
01049000,H0000052,行政院體育委員會組織條例,,廢止法規＞教育部
01054000,D0000129,行政院客家委員會組織條例,"行政院客家事務委員會組織條例,行政院客家族群事務委員會組織條例,客家委員會組織法",廢止法規＞客家委員會
01059000,A0010042,檔案管理局組織條例,國家檔案局組織條例,廢止法規＞國家發展委員會
01056000,D0000128,行政院原住民族委員會文化園區管理局組織條例,行政院原住民委員會文化園區管理局組織條例,行政＞原住民族委員會＞組織目
04402000,A0010043,立法院各委員會組織法,,立法
04401000,A0010044,立法院組織法,,立法
04501000,A0010051,司法院組織法,,司法＞院本部＞組織目
04502000,A0010053,法院組織法,,司法＞院本部＞組織目
04503000,A0010054,最高法院設置分庭條例,,司法＞院本部＞組織目
04504000,A0010055,行政法院組織法,,司法＞院本部＞組織目
04505000,A0010056,懲戒法院組織法,公務員懲戒委員會組織法;中央公務員懲戒委員會組織法,司法＞院本部＞組織目
04570000,A0010058,法官學院組織法,司法院司法人員研習所組織條例,司法＞院本部＞組織目
04601000,A0010063,考試院組織法,,"考試＞院本部＞組織目  "
04604000,A0010064,考銓處組織條例,,"考試＞院本部＞組織目  "
04701000,A0010071,監察院組織法,,監察＞院本部＞組織目
04702000,A0010072,監察院各委員會組織法,,監察＞院本部＞組織目
04703000,A0010073,監察院監察委員行署組織條例,監察委員行署組織條例,監察＞院本部＞組織目
04311000,A0020001,總統副總統選舉罷免法,,廢止法規＞內政部
04210000,A0020002,國民大會同意權行使法,國民大會行使同意權程序法,國民大會（憲法國民大會章條文已停止適用）
04209000,A0020003,國民大會代表報酬及費用支給條例,,廢止法規＞國民大會（憲法國民大會章條文已停止適用）
09440002,A0020057,立法院各委員會辦事通則,,廢止法規＞立法
04414000,A0020058,立法院職權行使法,,立法
02309000,A0020062,中央政府預算執行暫行條例,"中央政府預算暫行條例,中華民國八十四年度中央政府總預算執行條例",廢止法規＞行政院主計處
04412000,A0020064,立法委員行為法,"立法委員倫理法,立法委員基準法,立法委員行為規範法,國會議員行為規範法,立法院倫理法",立法
04312000,A0030001,總統副總統宣誓條例,,行政＞內政部＞民政目
04313000,A0030002,卸任總統副總統禮遇條例,"卸任總統禮遇條例;卸任總統禮遇條例,卸任總統優遇條例",行政＞內政部＞民政目
01111000,A0030004,褒揚條例,,行政＞內政部＞民政目
04315000,A0030006,勳章條例,,行政＞內政部＞民政目
04314000,A0030011,印信條例,國民政府頒發印信條例,行政＞院本部＞通用目
04902000,A0030013,宣誓條例,公職人員宣誓條例,行政＞內政部＞民政目
04901000,A0030018,公文程式條例,,行政＞院本部＞通用目
01118000,A0030019,請願法,,行政＞院本部＞通用目
04561000,A0030020,訴願法,,行政＞院本部＞通用目
01821000,A0030023,行政執行法,,行政＞法務部＞行政執行目
01419000,A0030024,國家總動員法,,廢止法規＞院本部
04655000,A0030025,公務人員交代條例,公務員交代條例,行政＞行政院人事行政總處＞組織目
01441000,A0030028,國家安全法,公務員交代條例;公務人員交代條例;動員戡亂時期國家安全法,行政＞院本部＞通用目
01034000,A0030032,行政院研究發展考核委員會組織條例,,廢止法規＞國家發展委員會
01830000,A0030055,行政程序法,,行政＞法務部＞法律事務目
02308000,A0030057,政府採購法,採購法,行政＞行政院公共工程委員會＞通用目
04108000,A0030110,九二一震災重建暫行條例,"九二一震災災區復興特別條例,災區重建振興暫行條例,九二一震災特別條例",廢止法規＞行政院九二一震災災後重建推動委員會
04580000,A0030116,千禧年資訊年序爭議處理法,,行政＞院本部＞通用目
01235000,A0030121,離島建設條例,離島振興法,行政＞國家發展委員會＞通用目
04405000,A0030133,中央法規標準法,,行政＞院本部＞通用目
01731000,A0030134,檔案法,,行政＞國家發展委員會＞通用目
04562000,A0030154,行政訴訟法,,司法＞院本部＞行懲及智財目
04563000,A0030155,公務員懲戒法,,司法＞院本部＞行懲及智財目
04581000,A0030156,行政訴訟法施行法,,司法＞院本部＞行懲及智財目
04506000,A0030159,憲法訴訟法,"司法院大法官會議法;司法院大法官審理案件法;司法院大法官會議法,大法官會議法,司法院解釋憲法及統一解釋法令條例,司法院大法官審理案件法",司法＞院本部＞釋憲目
04577000,A0030161,證人保護法,司法院大法官審理案件法;憲法訴訟法;證人保護安置法,行政＞法務部＞檢察目
04708000,A0030199,監察法,,監察＞院本部＞監察目
04809000,A0040001,省縣自治法,"省縣自治通則,省長暨直轄市市長選舉暫行條例,縣自治法,省長及直轄市長選舉暫行條例",廢止法規＞內政部
04811000,A0040002,直轄市自治法,,廢止法規＞內政部
04818000,A0040003,地方制度法,地方自治法,行政＞內政部＞民政目
04618000,A0040010,縣長任用法,,廢止法規＞內政部
04620000,A0040011,縣行政人員任用條例,,廢止法規＞內政部
04817000,A0040012,臺灣省政府功能業務與組織調整暫行條例,"臺灣省政府功能業務與組織暫行條例,臺灣省政府組織與功能業務調整暫行條例,臺灣省功能業務與組織調整暫行條例",廢止法規＞內政部
,B0000001,民法,,行政＞法務部＞法律事務目
04508000,B0000002,民法總則施行法,,行政＞法務部＞法律事務目
04510000,B0000003,民法債編施行法,,行政＞法務部＞法律事務目
04512000,B0000004,民法物權編施行法,,行政＞法務部＞法律事務目
04514000,B0000005,民法親屬編施行法,,行政＞法務部＞法律事務目
04516000,B0000006,民法繼承編施行法,,行政＞法務部＞法律事務目
04524000,B0000007,涉外民事法律適用法,,司法＞院本部＞民事目
04527000,B0010001,民事訴訟法,中華民國民事訴訟法,司法＞院本部＞民事目
04528000,B0010002,民事訴訟法施行法,中華民國民事訴訟法施行法,司法＞院本部＞民事目
04529000,B0010003,民事訴訟費用法,,廢止法規＞院本部
04534000,B0010004,強制執行法,,司法＞院本部＞民事目
04535000,B0010005,管收條例,,司法＞院本部＞民事目
04522000,B0010006,破產法,債務清理法,司法＞院本部＞民事目
04523000,B0010007,破產法施行法,,司法＞院本部＞民事目
04532000,B0010008,非訟事件法,,司法＞院本部＞民事目
04525000,B0010010,公證法,,司法＞院本部＞民事目
04526000,B0010012,提存法,,司法＞院本部＞民事目
01808000,B0010014,外國法院委託事件協助法,外國法院委託協助法,司法＞院本部＞刑事目
04530000,B0010015,民刑事訴訟卷宗滅失案件處理法,,司法＞院本部＞民事目
04536000,C0000001,中華民國刑法,刑法,行政＞法務部＞檢察目
04537000,C0000002,中華民國刑法施行法,,行政＞法務部＞檢察目
04538000,C0000003,妨害國幣懲治條例,妨害國幣懲治暫行條例,行政＞中央銀行＞發行目
04540000,C0000004,妨害國家總動員懲罰暫行條例,,廢止法規＞院本部
04541000,C0000005,懲治盜匪條例,,廢止法規＞院本部
04542000,C0000006,懲治走私條例,,行政＞法務部＞檢察目
04551000,C0000007,貪污治罪條例,戡亂時期貪污治罪條例,行政＞法務部＞檢察目
04547000,C0000008,毒品危害防制條例,"戡亂時期肅清煙毒條例;肅清煙毒條例;戡亂時期肅清煙毒條例,肅清煙毒條例",行政＞法務部＞檢察目
04546000,C0000009,殘害人群治罪條例,危害種族治罪條例,行政＞院本部＞通用目
04544000,C0000010,懲治叛亂條例,,廢止法規＞院本部
04545000,C0000012,戡亂時期檢肅匪諜條例,,廢止法規＞院本部
04574000,C0000013,組織犯罪防制條例,防制幫派犯罪條例,行政＞法務部＞檢察目
04552000,C0010001,刑事訴訟法,中華民國刑事訴訟法,司法＞院本部＞刑事目
04553000,C0010002,刑事訴訟法施行法,中華民國刑事訴訟法施行法,司法＞院本部＞刑事目
01440000,C0010004,海上捕獲法庭審判條例,捕獲法院條例,行政＞院本部＞通用目
04557000,C0010005,赦免法,,行政＞院本部＞通用目
04558000,C0010006,中華民國六十年罪犯減刑條例,,行政＞法務部＞檢察目
04559000,C0010007,中華民國六十四年罪犯減刑條例,,行政＞法務部＞檢察目
04554000,C0010008,提審法,,司法＞院本部＞刑事目
01812000,C0010009,刑事補償法,"冤案申訴暫行條例,冤獄賠償法,刑事程序補償法",司法＞院本部＞刑事目
04550000,C0010011,少年事件處理法,冤獄賠償法;刑事補償法,司法＞院本部＞少年及家事目
04555000,C0010013,公設辯護人條例,,司法＞院本部＞刑事目
01823000,C0010017,中華民國七十七年罪犯減刑條例,,行政＞法務部＞檢察目
04569000,C0010018,中華民國八十年罪犯減刑條例,,行政＞法務部＞檢察目
01842000,C0010022,觀察勒戒處分執行條例,,行政＞法務部＞矯正目
01841000,C0010023,戒治處分執行條例,,行政＞法務部＞矯正目
01011000,D0000001,內政部組織法,國民政府內政部組織法,行政＞內政部＞組織目
01102000,D0000008,內政部營建署組織條例,,行政＞內政部＞組織目
01101000,D0000015,內政部警政署組織條例,,廢止法規＞內政部
01108000,D0000022,中央警察大學組織條例,中央警官學校組織條例,行政＞內政部＞組織目
01103000,D0000027,國家公園管理處組織通則,中央警官學校組織條例;中央警察大學組織條例;國家公園組織通則,廢止法規＞內政部
01109000,D0000031,各省市警察學校組織通則,警察學校組織通則,廢止法規＞內政部
01202000,D0000034,臺灣警察專科學校組織條例,警察學校組織條例,行政＞內政部＞組織目
01209000,D0000036,內政部警政署保安警察總隊組織通則,警政署保安隊組織通則,廢止法規＞內政部
01257000,D0000038,內政部警政署水上警察局組織條例,,廢止法規＞內政部
01222000,D0000043,內政部警政署國道公路警察局組織條例,"內政部警政署公路警察局組織條例,公路警察局組織條例,國道警察局組織條例",廢止法規＞內政部
01021000,D0000044,蒙藏委員會組織法,,廢止法規＞文化部
02101000,D0000045,蒙古盟部旗組織法,,廢止法規＞蒙藏委員會
02101001,D0000046,蒙古盟部旗組織法施行條例,,廢止法規＞蒙藏委員會
01250000,D0000051,內政部兒童局組織條例,兒童局組織條例,廢止法規＞衛生福利部
01220000,D0000053,內政部警政署國家公園警察大隊組織條例,"內政部警政署國家公園警察隊組織條例,國家公園警隊組織條例",廢止法規＞內政部
01251000,D0000059,內政部警政署航空警察局組織條例,,廢止法規＞內政部
01286000,D0000065,內政部役政署組織條例,,廢止法規＞內政部
01221000,D0000068,內政部警政署刑事警察局組織條例,刑事警察局組織條例,廢止法規＞內政部
01231000,K0000084,國家風景區管理處組織通則,風景區管理處組織通則,行政＞交通部＞組織目
01236000,D0000069,內政部消防署組織條例,"內政部消防署暨救災署組織條例,行政院消防及災害防救署組織條例,行政院災害防救總署組織條例",行政＞內政部＞組織目
01296000,D0000070,內政部消防署港務消防隊組織通則,"內政部消防及災害防救署港務消防及災害防救隊組織通則,內政部消防及災害防救署各港務消防及災害防救隊組織通則",行政＞內政部＞組織目
01239000,D0000071,內政部建築研究所組織條例,,廢止法規＞內政部
05109000,D0000103,內政部警政署鐵路警察局組織條例,,廢止法規＞內政部
05110000,D0000104,內政部警政署臺灣保安警察總隊組織條例,,廢止法規＞內政部
01252000,D0000105,內政部警政署警察電訊所組織條例,警察電訊所組織條例,廢止法規＞內政部
05111000,D0000106,內政部警政署港務警察局組織通則,內政部警政署港務警察所組織通則,廢止法規＞內政部
05112000,D0000107,內政部警政署警察廣播電臺組織條例,,廢止法規＞內政部
05113000,D0000108,內政部警政署民防防情指揮管制所組織條例,內政部警政署民防防情指揮所管制中心組織條例,廢止法規＞內政部
05114000,D0000109,內政部警政署警察機械修理廠組織條例,,廢止法規＞內政部
04204000,D0020001,國民大會代表選舉罷免法,國大代表選罷法,廢止法規＞內政部
04205000,D0020002,國民大會代表選舉罷免法施行條例,,廢止法規＞內政部
04203000,D0020003,國民大會代表立法院立法委員選舉總事務所組織條例,,廢止法規＞內政部
04206000,D0020004,國民大會代表立法院立法委員選舉補充條例,,廢止法規＞內政部
04403000,D0020006,立法院立法委員選舉罷免法,,廢止法規＞內政部
04404000,D0020007,立法院立法委員選舉罷免法施行條例,,廢止法規＞內政部
04706000,D0020008,監察院監察委員選舉罷免法,監察委員選罷法,廢止法規＞內政部
04707000,D0020009,監察院監察委員選舉罷免法施行條例,監委選罷法施行條例,廢止法規＞內政部
01177000,D0020010,公職人員選舉罷免法,動員戡亂時期公職人員選舉罷免法,行政＞內政部＞民政目
04801000,D0020012,省政府組織法,動員戡亂時期臺灣省政府組織條例,廢止法規＞內政部
04802000,D0020014,市組織法,,廢止法規＞內政部
04803000,D0020016,縣組織法,,廢止法規＞內政部
04804000,D0020017,縣組織法施行法,,廢止法規＞內政部
04805000,D0020019,鄉鎮組織暫行條例,,廢止法規＞內政部
01110000,D0020020,中華民國國徽國旗法,,行政＞內政部＞民政目
04904000,D0020022,服制條例,,廢止法規＞內政部
01113000,D0020023,國葬法,,行政＞內政部＞民政目
01114000,D0020024,公葬條例,,廢止法規＞內政部
01116000,D0020027,監督寺廟條例,,行政＞內政部＞民政目
01115000,D0020034,墳墓設置管理條例,,廢止法規＞內政部
01204000,D0020036,第一屆資深中央民意代表自願退職條例,,行政＞內政部＞民政目
04819000,D0020039,地方民意代表費用支給及村里長事務補助費補助條例,"地方民意代表費用支給條例,地方民意代表支給及村里長事務補助費補助條例,村里長報酬支給條例",行政＞內政部＞民政目
05120000,D0020040,殯葬管理條例,殯葬業管理條例,行政＞內政部＞民政目
,D0020057,國葬先哲逝世紀念典禮條例,,廢止法規＞內政部
01227000,D0130001,原住民身分法,"臺灣地區原住民身分認定條例,臺灣原住民族族群及身分識別法,原住民族身分識別法,原住民身分認定條例,原住民身分認定法",行政＞原住民族委員會＞綜合規劃目
05121000,D0130004,原住民敬老福利生活津貼暫行條例,原住民敬老生活津貼暫行條例,廢止法規＞行政院原住民族委員會
03627000,D0130006,原住民族工作權保障法,"原住民工作權益保障法,原住民工作權保障法",行政＞原住民族委員會＞社會福利目
01287000,D0050131,志願服務法,,行政＞衛生福利部＞社會救助及社工目
01121000,D0030001,國籍法,,行政＞內政部＞戶政目
01122000,D0030002,國籍法施行條例,,廢止法規＞內政部
01119000,D0030006,戶籍法,,行政＞內政部＞戶政目
01123000,D0030011,姓名條例,,行政＞內政部＞戶政目
01120000,D0030014,戶口普查法,,廢止法規＞內政部
01415000,D0040008,軍人及其家屬優待條例,,行政＞內政部＞役政目
01456000,D0040017,替代役實施條例,兵役替代役法,行政＞內政部＞役政目
01125000,D0050002,兒童福利法,,廢止法規＞內政部
01233000,M0090015,老年農民福利津貼暫行條例,"農民年金法,老年農民福利金暫行條例,農民老年福利津貼暫行條例,農民年金保險條例,老年農民福利津貼條例",行政＞行政院農業委員會＞農民輔導目
01234000,D0050023,兒童及少年性剝削防制條例,"兒童及少年性交易防制條例;雛妓防治法,雛妓防治條例,防制對兒童少年為性交易條例,兒童性交易防制條例,兒童及少年性交易防制條例",行政＞衛生福利部＞保護服務目
01179000,D0050024,少年福利法,,廢止法規＞內政部
01126000,D0050037,老人福利法,資深國民福利法,行政＞衛生福利部＞社會及家庭目
01240000,D0050042,敬老福利生活津貼暫行條例,"敬老福利津貼暫行條例,老年勞工漁民津貼暫行條例,老年福利津貼暫行條例,老人福利津貼暫行條例",廢止法規＞內政部
01127000,D0050046,身心障礙者權益保障法,"殘障福利法;身心障礙者保護法;殘障福利法,殘障者權益保護法,身心障礙者權益保護法,身心障礙者保護法",行政＞衛生福利部＞社會及家庭目
01253000,D0050071,家庭暴力防治法,,行政＞衛生福利部＞保護服務目
01282000,D0050075,特殊境遇家庭扶助條例,"特殊境遇婦女家庭扶助條例;特殊境遇婦女家庭扶助條例,特殊家庭扶助條例",行政＞衛生福利部＞社會及家庭目
01128000,D0050078,社會救助法,生活保障法,行政＞衛生福利部＞社會救助及社工目
01181000,D0050084,農民健康保險條例,農民保險法,行政＞行政院農業委員會＞農民輔導目
01124000,D0050091,人民團體法,"非常時期人民團體組織法;動員戡亂時期人民團體法;動員戡亂時期人民團體法,非常時期人民團體組織法",行政＞內政部＞合作及人民團體目
01137000,D0050098,中華民國紅十字會法,,廢止法規＞內政部
01134000,D0050100,商業團體法,,行政＞內政部＞合作及人民團體目
01133000,D0050103,工業團體法,,行政＞內政部＞合作及人民團體目
01135000,D0050108,教育會法,,行政＞內政部＞合作及人民團體目
01136000,D0050112,合作社法,,行政＞內政部＞合作及人民團體目
01228000,D0050125,社會工作師法,社會工作專業人員法,行政＞衛生福利部＞社會救助及社工目
01609000,D0050128,儲蓄互助社法,,行政＞內政部＞合作及人民團體目
01150000,D0060001,土地法,,行政＞內政部＞地政目
01151000,D0060002,土地法施行法,,行政＞內政部＞地政目
01232000,D0060007,農村社區土地重劃條例,,行政＞內政部＞地政目
01152000,D0060008,耕地三七五減租條例,,行政＞內政部＞地政目
01154000,D0060009,平均地權條例,實施都市平均地權條例,行政＞內政部＞地政目
01157000,D0060014,水陸地圖審查條例,,廢止法規＞內政部
01437000,D0060017,測量標設置保護條例,國防部測量標設置保護條例,廢止法規＞內政部
01155000,D0060019,農地重劃條例,,行政＞內政部＞地政目
01153000,D0060030,實施耕者有其田條例,,廢止法規＞內政部
01229000,D0060058,土地徵收條例,,行政＞內政部＞地政目
01206000,D0060066,不動產經紀業管理條例,"房地產仲介業管理條例,建築經理業管理條例",行政＞內政部＞地政目
01603000,D0060076,不動產估價師法,土地估價師法,行政＞內政部＞地政目
01269000,D0060081,地政士法,土地登記士法,行政＞內政部＞地政目
01161000,D0070001,都市計畫法,,行政＞內政部＞營建目
01162000,D0070007,市區道路條例,,行政＞內政部＞營建目
01191000,D0070008,都市更新條例,都市再開發條例,行政＞內政部＞營建目
01156000,D0070030,區域計畫法,,行政＞內政部＞營建目
01194000,D0070032,新市鎮開發條例,,行政＞內政部＞營建目
01249000,D0070046,共同管道法,,行政＞內政部＞營建目
01165000,D0070058,下水道法,,行政＞內政部＞營建目
01163000,D0070060,工程受益費徵收條例,市縣工程受益費徵收條例,行政＞內政部＞營建目
01958000,D0070062,促進民間參與公共建設法,獎勵投資公共建設條例,行政＞財政部＞推動促參目
01160000,D0070081,國民住宅條例,,廢止法規＞內政部
01117000,D0070105,國家公園法,,行政＞內政部＞營建目
01158000,D0070109,建築法,,行政＞內政部＞營建目
01159000,D0070112,建築師法,,行政＞內政部＞營建目
01187000,D0070118,公寓大廈管理條例,"建築物區分管理維護法,公寓大廈社區管理條例",行政＞內政部＞營建目
01164000,J0110055,自來水法,,行政＞經濟部＞水利目
01166000,D0080001,警察法,,行政＞內政部＞警政目
01106000,D0080005,省警務處組織法,,廢止法規＞內政部
01107000,D0080006,省保安警察隊組織條例,,廢止法規＞內政部
01168000,D0080007,警察教育條例,警察人員教育條例,行政＞內政部＞警政目
01170000,D0080026,警察勤務條例,,行政＞內政部＞警政目
01169000,D0080036,警察服制條例,,行政＞內政部＞警政目
01174000,D0080037,自衛槍枝管理條例,,行政＞內政部＞警政目
01171000,D0080042,警械使用條例,,行政＞內政部＞警政目
01175000,D0080047,槍砲彈藥刀械管制條例,,行政＞內政部＞警政目
04549000,D0080051,檢肅流氓條例,"動員戡亂時期檢肅流氓條例;動員戡亂時期檢肅流氓條例,動員時期檢肅流氓條例",廢止法規＞內政部
01199000,D0080058,集會遊行法,動員戡亂時期集會遊行法,行政＞內政部＞警政目
01183000,D0080067,社會秩序維護法,,行政＞內政部＞警政目
01295000,D0080075,當舖業法,"當鋪業管理條例,當舖業管理法",行政＞內政部＞警政目
01172000,D0080077,違警罰法,,廢止法規＞內政部
01237000,D0080079,性侵害犯罪防治法,性侵害防治法,行政＞衛生福利部＞保護服務目
01192000,D0080081,保全業法,保全業管理條例,行政＞內政部＞警政目
01294000,D0080088,警察刑事紀錄證明核發條例,警察紀錄證明核發條例,行政＞內政部＞警政目
01173000,D0080103,警察獎章條例,,行政＞內政部＞警政目
01208000,D0080118,民防法,,行政＞內政部＞警政目
01203000,D0080132,入出國及移民法,"移民法,移民暨入出國管理法,入出國境及移民法",行政＞內政部＞移民目
01215000,D0090001,行政院海岸巡防署組織法,"海岸巡防署組織條例,行政院海岸巡防署組織條例,行政院海岸巡防總署組織法",廢止法規＞海洋委員會
01279000,D0090002,行政院海岸巡防署海洋巡防總局組織條例,行政院海岸巡防總署海洋巡防署組織條例,廢止法規＞海洋委員會
01281000,D0090003,行政院海岸巡防署海岸巡防總局組織條例,"行政院海岸巡防總署海岸巡防署組織條例,海岸巡防署海岸巡防總局組織條例",廢止法規＞海洋委員會
01280000,D0090004,行政院海岸巡防署海岸巡防總局各地區巡防局組織通則,"行政院海岸巡防總署海岸巡防署各地區巡防局組織通則,海岸巡防總署海岸巡防署各地區巡防局組織通則",廢止法規＞海洋委員會
01277000,D0090009,海岸巡防法,海岸暨海域保安法,行政＞海洋委員會＞海岸巡防目
02102000,D0100005,管理喇嘛寺廟條例,,廢止法規＞蒙藏委員會
04318000,D0020053,總統副總統選舉罷免法,"總統選舉法,總統副總統選舉法",行政＞內政部＞民政目
01178000,D0120001,消防法,,行政＞內政部＞消防目
01248000,D0120014,災害防救法,重大災害防救條例,行政＞內政部＞消防目
01013000,E0000001,外交部組織法,,行政＞外交部＞組織目
01302000,E0000002,外交部外交領事人員講習所組織條例,,廢止法規＞外交部
01301000,E0000003,駐外使領館組織條例,,廢止法規＞外交部
01307000,E0000004,外交部領事事務局組織條例,,廢止法規＞外交部
01022000,E0000005,僑務委員會組織法,,行政＞僑務委員會＞組織目
01959000,E0000012,國際合作發展基金會設置條例,"國際經濟合作發展基金條例,財團法人國際合作發展基金會設置條例,國際合作發展基金條例",行政＞外交部＞組織目
01306000,E0020005,駐華外國機構及其人員特權暨豁免條例,外交人員豁免條例,行政＞外交部＞外交業務目
01303000,E0030001,護照條例,出國護照條例,行政＞外交部＞領事業務目
01311000,E0030002,外國護照簽證條例,,行政＞外交部＞領事業務目
01014000,F0000001,國防部組織法,,行政＞國防部＞組織目
,F0000002,國防部參謀本部組織條例,國防部參謀本部組織法,廢止法規＞國防部
01402000,F0000003,後備軍人會組織通則,,廢止法規＞國防部
01026000,F0000006,行政院國軍退除役官兵輔導委員會組織條例,行政院國軍退除役就業輔導委員會組織條例,廢止法規＞國軍退除役官兵輔導委員會
01450000,F0000036,國軍軍事勤務致人民傷亡損害補償條例,"政府遷臺迄今遭國軍流彈傷亡人民補償金給與條例,臺澎金馬地區人民特殊傷亡及損害賠償條例,金馬地區人民特殊傷亡及損害賠償條例,政府遷台迄今遭國軍流彈傷亡人民補償金給與條例,政府遷台迄今遭國軍演訓流彈傷亡人民補償金給與條例,人民傷亡損害補償條例",行政＞國防部＞作戰目
01460000,F0000066,國防部總政治作戰局組織條例,,廢止法規＞國防部
01458000,F0000067,國防部主計局組織條例,,廢止法規＞國防部
01465000,F0000068,國防部軍醫局組織條例,,廢止法規＞國防部
01042000,F0010030,國防法,國防組織法,行政＞國防部＞組織目
04905000,F0030001,特級上將授任條例,,廢止法規＞國防部
01406000,F0030002,陸海空軍軍官士官任官條例,軍官士官任官條例,行政＞國防部＞人事目
01407000,F0030004,陸海空軍軍官士官任職條例,軍官士官任職條例,行政＞國防部＞人事目
01408000,F0030005,陸海空軍軍官士官考績條例,軍官士官考績條例,行政＞國防部＞人事目
01410000,F0030008,陸海空軍勳賞條例,,行政＞國防部＞人事目
01411000,F0030010,陸海空軍獎勵條例,,行政＞國防部＞人事目
01412000,F0030012,空軍勛獎條例,,行政＞國防部＞人事目
01433000,F0030013,陸海空軍懲罰法,,行政＞國防部＞人事目
01413000,F0030015,軍人婚姻條例,"戡亂時期陸海空軍軍人婚姻條例;戡亂時期軍人婚姻條例;戡亂時期軍人婚姻條例,戡亂時期陸海空軍軍人婚姻條例",廢止法規＞國防部
01417000,F0040001,兵役法,,行政＞國防部＞兵役目
01418000,F0040002,兵役法施行法,,行政＞國防部＞兵役目
01403000,F0040003,陸海空軍軍官服役條例,,廢止法規＞國防部
01404000,F0040005,陸海空軍士官服役條例,,廢止法規＞國防部
01405000,F0040007,志願士兵服役條例,,行政＞國防部＞兵役目
01448000,F0040020,陸海空軍軍官士官服役條例,,行政＞國防部＞兵役目
01409000,F0050001,軍人保險條例,陸海空軍軍人保險條例,行政＞國防部＞保險撫卹目
01416000,F0050003,軍人撫卹條例,,行政＞國防部＞保險撫卹目
01423000,F0060001,海軍服制條例,,廢止法規＞國防部
01422000,F0060002,陸軍服制條例,,廢止法規＞國防部
01424000,F0060003,空軍服制條例,,廢止法規＞國防部
01425000,F0060005,陸海空軍軍旗條例,,行政＞國防部＞服制旗章目
01429000,F0070001,要塞堡壘地帶法,要塞堡壘設置法,行政＞國防部＞作戰目
01428000,F0070002,戒嚴法,,行政＞國防部＞作戰目
04906000,F0070003,衛戍條例,,廢止法規＞國防部
01420000,F0070004,軍事徵用法,,廢止法規＞國防部
01430000,F0070006,防空法,,廢止法規＞國防部
04812000,F0070011,金門馬祖東沙南沙地區安全及輔導條例,"外島區域輔導條例,金門馬祖東沙南沙地區安全維護條例",廢止法規＞國防部
01459000,F0070013,全民防衛動員準備法,,行政＞國防部＞作戰目
01452000,F0080007,軍事教育條例,,行政＞國防部＞教育訓練目
01038000,F0110001,國防工業發展基金設置條例,,行政＞國防部＞主計財務目
01432000,F0120001,陸海空軍刑法,,行政＞國防部＞軍法目
04539000,F0120002,妨害兵役治罪條例,,行政＞國防部＞軍法目
01434000,F0120003,戰時軍律,,廢止法規＞國防部
01435000,F0120004,妨害軍機治罪條例,,廢止法規＞國防部
01436000,F0120006,海上捕獲條例,,行政＞國防部＞軍法目
01421000,F0120007,戰時禁制品條例,,行政＞國防部＞軍法目
01438000,F0120008,軍事審判法,,行政＞國防部＞軍法目
01439000,F0120009,軍事審判法施行法,,行政＞國防部＞軍法目
01443000,F0140009,戰士授田憑據處理條例,,廢止法規＞國防部
01449000,F0140013,國軍老舊眷村改建條例,,行政＞國防部＞留守業務目
02601000,F0150001,國軍退除役官兵輔導條例,,行政＞國軍退除役官兵輔導委員會＞輔導管理目
01015000,G0300001,財政部組織法,,行政＞財政部＞組織目
01501000,G0300002,財政部國庫署組織條例,財政部國庫署組織法（民國29年）,行政＞財政部＞組織目
