立法院代碼,法務部代碼,法律名稱,舊名稱,法務部分類
09145003,F0140002,國軍軍眷業務處理辦法,國軍在臺軍眷業務處理辦法,廢止法規＞國防部
01415006,F0140003,國軍官兵作戰或因公失蹤被俘人員家屬待遇處理辦法,,行政＞國防部＞留守業務目
01415007,F0140004,志願役軍人家屬就醫優待辦法,,廢止法規＞國防部
09143013,F0140005,陸海空軍現役軍人戶口查記辦法,陸海空軍現役之軍人戶口查記辦法,廢止法規＞國防部
01158013,F0140006,國軍眷區違章建築取締辦法,,廢止法規＞國防部
,F0140007,國軍陣（死）亡官兵遺骸安葬及遺物處理辦法,國軍陣（死）亡官兵遺骸安葬暨遺物處理辦法;國軍陣（死,廢止法規＞國防部
09145006,F0140008,國民革命忠烈祠入祀辦法,,廢止法規＞國防部
01443001,F0140010,戰士授田憑據處理條例施行細則,,廢止法規＞國防部
01416010,F0140011,國軍在臺遺族身心障礙官兵及無依軍眷照護金發給辦法,國軍在臺遺族傷殘官兵及無依軍眷照護金發給辦法,行政＞國防部＞保險撫卹目
01449001,F0140014,國軍老舊眷村改建條例施行細則,,行政＞國防部＞留守業務目
02301088,F0140015,國軍老舊眷村改建基金收支保管及運用辦法,,行政＞國防部＞主計財務目
01449004,F0140016,國軍老舊眷村及不適用營地之國有土地標售或處分辦法,國軍老舊眷村及不適用營地之國有土地標售處分辦法,行政＞國防部＞留守業務目
01449003,F0140018,獎勵民間參與國軍老舊眷村改建投資興建住宅社區辦法,,行政＞國防部＞留守業務目
01449002,F0140017,國軍老舊眷村改建配售坪型辦法,,行政＞國防部＞留守業務目
02601002,F0150002,國軍退除役官兵輔導條例施行細則,,行政＞國軍退除役官兵輔導委員會＞輔導管理目
02601003,F0150003,國軍退除役官兵生活指導管理辦法,,行政＞國軍退除役官兵輔導委員會＞輔導管理目
02601004,F0150004,國軍退除役官兵建築住宅租用公有土地減租優待辦法,,行政＞國軍退除役官兵輔導委員會＞輔導管理目
09261004,F0150005,行政院國軍退除役官兵輔導委員會附屬事業機構各級榮譽團結會實施辦法,行政院國軍退除役官兵輔導委員會附屬事業機構各級榮譽團結會組織辦法,廢止法規＞行政院國軍退除役官兵輔導委員會
,F0150006,行政院國軍退除役官兵輔導委員會所屬榮民醫院住院精神病患財物保管辦法,行政院國軍退除役官兵輔導委員會精神病患者財物保管辦法,廢止法規＞行政院國軍退除役官兵輔導委員會
02601011,F0150007,國軍退除役官兵就業安置辦法,,行政＞國軍退除役官兵輔導委員會＞就業目
02601005,F0150008,各機關優先錄用退除役官兵實施辦法,,行政＞國軍退除役官兵輔導委員會＞就業目
09262001,F0150009,退除役軍官力行生產合作社經營實施辦法,,廢止法規＞行政院國軍退除役官兵輔導委員會
02601006,F0150010,國軍退除役官兵申請管制限制之事業或營業執照暨承銷公營機構代銷品實施辦法,,行政＞國軍退除役官兵輔導委員會＞就業目
09262003,F0150011,國軍退除役軍官個別農墾輔導辦法,,廢止法規＞行政院國軍退除役官兵輔導委員會
09262004,F0150012,行政院國軍退除役官兵輔導委員會各農場退除役官兵農業生產輔導辦法,,廢止法規＞行政院國軍退除役官兵輔導委員會
09262005,F0150013,行政院國軍退除役官兵輔導委員會所屬農場授田後年老暨離場場員土地財產處理辦法,,廢止法規＞行政院國軍退除役官兵輔導委員會
02601007,F0150014,國軍退除役官兵就醫辦法,,行政＞國軍退除役官兵輔導委員會＞就醫目
02601008,F0150015,國軍退除役官兵就養安置辦法,,行政＞國軍退除役官兵輔導委員會＞就養目
02601009,F0150016,國軍退除役官兵就學實施辦法,,廢止法規＞國軍退除役官兵輔導委員會
09261005,F0150017,行政院國軍退除役官兵輔導委員會主管財團法人設立許可及監督準則,,廢止法規＞行政院國軍退除役官兵輔導委員會
02301078,F0150021,行政院國軍退除役官兵輔導委員會高雄榮民總醫院作業基金收支保管及運用辦法,,廢止法規＞行政院國軍退除役官兵輔導委員會
01503001,G0300004,財政部國有財產局臺灣各區辦事處組織規程,,廢止法規＞財政部
01015002,G0300007,財政部法規委員會組織規程,,廢止法規＞財政部
,G0300008,財政部稅制委員會暫行組織規程,,廢止法規＞財政部
,G0300009,財政部賦稅署貨物稅評價委員會組織規程,,廢止法規＞財政部
01524001,G0300010,不動產評價委員會組織規程,,行政＞財政部＞組織目
01528001,G0300011,財政部關稅總局稅則分類估價評議會組織規程,海關總稅務司署稅則分類估價評議會組織規程,廢止法規＞財政部
01583001,G0300012,財政部國有財產署國有財產估價委員會組織規程,"財政部國有財產局國有財產估價委員會組織規則;財政部國有財產局國有財產估價委員會組織規程;財政部國有財產局國有財產估價委員會組織規則,財政部國有財產局國有財產估價委員會組織規程",行政＞財政部＞組織目
02301047,G0300013,行政院開發基金管理委員會組織規程,,廢止法規＞財政部
09150002,G0300014,保險業務發展基金管理委員會組織規程,,廢止法規＞金融監督管理委員會
09150003,G0300015,稅捐稽徵機關復查委員會組織規程,,行政＞財政部＞組織目
01528002,G0300018,財政部關稅稅率委員會組織規程,,廢止法規＞財政部
01584002,G0300020,會計師懲戒委員會與懲戒覆審委員會組織及審議規則,會計師懲戒委員會暨懲戒覆審委員會組織規程,"行政＞金融監督管理委員會＞組織目       "
09150004,G0300021,金融檢查作業檢討委員會設置辦法,,廢止法規＞財政部
01139010,N0000025,勞工退休基金監理委員會組織規程,,廢止法規＞行政院勞工委員會
09150005,G0300023,會計師業務審議委員會設置辦法,,行政＞財政部＞賦稅目
02301037,G0300025,國有財產開發基金保管運用委員會設置辦法,,廢止法規＞財政部
01605001,G0300029,財政部關稅總局各地區關稅局分等標準,,廢止法規＞財政部
01532001,G0420001,中央銀行理事會會議規則,,行政＞中央銀行＞組織目
01532002,G0420002,中央銀行監事會會議規則,,行政＞中央銀行＞組織目
01532003,G0420003,中央銀行各局處室組織規程,,廢止法規＞中央銀行
03101001,M0070060,農業金融策劃委員會設置辦法,中央銀行農業金融策劃委員會組織綱要;中央銀行農業金融策劃委員會設置辦法,行政＞行政院農業委員會＞農業金融目
01532004,G0420005,中央印製廠組織規程,,行政＞中央銀行＞組織目
01532005,G0420006,中央造幣廠組織規程,,行政＞中央銀行＞組織目
01608002,G0300031,財政部公益彩券監理委員會組成辦法,,行政＞財政部＞國庫目
02301038,G0300032,金融資訊服務中心作業基金管理委員會設置辦法,,廢止法規＞財政部
09150009,G0300033,保險審議會組織規程,,廢止法規＞財政部
01591005,G0300034,違反強制汽車責任保險事件裁決機構設置辦法,,行政＞交通部＞組織目
01588002,G0300041,信用合作社授信審議委員會組織準則,,行政＞金融監督管理委員會＞銀行目
09155029,G0300042,信用合作社放款審核委員會組織準則,,廢止法規＞財政部
,G0310001,財政部臺北市國稅局辦事細則,,廢止法規＞財政部
01505001,G0310002,財政部臺北區支付處辦事細則,,廢止法規＞財政部
01501001,G0310003,財政部國庫署辦事細則,,廢止法規＞財政部
01507004,G0310004,財政部證券暨期貨管理委員會辦事細則,財政部證券管理委員會辦事細則,廢止法規＞財政部
01506001,G0310005,財政部財稅人員訓練所辦事細則,,廢止法規＞財政部
01015001,G0310006,財政部處務規程,,行政＞財政部＞組織目
01502001,G0310007,財政部賦稅署辦事細則,,廢止法規＞財政部
01503002,G0310008,財政部國有財產局辦事細則,,廢止法規＞財政部
04903002,G0310009,財政部專業獎章頒給辦法,,行政＞財政部＞組織目
01589001,G0310010,財政部財稅資料中心辦事細則,,廢止法規＞財政部
01504004,G0310011,財政部高雄市國稅局辦事細則,,廢止法規＞財政部
01606001,G0310012,財政部金融局辦事細則,,廢止法規＞財政部
01504001,G0310013,財政部臺灣省南區國稅局辦事細則,,廢止法規＞財政部
